"path_name","signs","hop","net_sign","contribution","lr_annotation"
"CAF->NK->Treg","-,-",2,1,0.0110301860347887,"CAF-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Macrophage->NK","-,-",2,1,0.0110292667978259,"CD4conv-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6]"
"Bcell->Treg->Macrophage","+,+",2,1,0.0109864263836541,"Bcell-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Endo->NK->NK","-,-",2,1,0.010968242540422,"Endo-->NK[LR1/LR2/LR3/LR5/LR6] | NK-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->CD8->CD8","+,+",2,1,0.010899604558129,"CAF-+>CD8[LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"CD8->Treg->Macrophage","+,+",2,1,0.0108984720605654,"CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Macrophage->Treg","+,+",2,1,0.0108854126000467,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"CD4conv->Treg->Macrophage","+,+",2,1,0.0108577791322219,"CD4conv-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Endo->CD8->NK","-,-",2,1,0.010805794189451,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg","-,-",2,1,0.0107886398207969,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->Treg->Macrophage","-,-",2,1,0.0107648091623497,"Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Macrophage->CD8","+,+",2,1,0.0107292378690164,"CD4conv-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Bcell->Treg->Treg","+,+",2,1,0.0107164038257564,"Bcell-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"NK->Treg->Treg","-,-",2,1,0.0106830391502633,"NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
